# division directionality movement
1.000000000000000000e+00 3.531406110158997969e+00 1.490751772565284961e-01
3.000000000000000000e+00 1.103575330041765667e+01 4.832062219805113856e-01
2.000000000000000000e+00 9.657284665536497670e+00 5.061614464944661496e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.636236731788555110e+00 7.496598473805843321e-02
6.000000000000000000e+00 4.137216831983117515e+00 2.278000068915089216e+00
1.000000000000000000e+00 3.524180509789273774e+00 1.794189356232508137e-01
5.000000000000000000e+00 4.867188250623103229e+00 1.865066689789948384e+00
4.000000000000000000e+00 3.377087659127370856e+00 7.520164144376510762e-02
1.000000000000000000e+00 4.281403951851285861e+00 2.736568324291440701e-01
1.000000000000000000e+00 6.097430175023105470e+00 2.525207237164145968e-01
2.000000000000000000e+00 8.155663911010433864e+00 5.338920481670331730e-01
0.000000000000000000e+00 4.761039191664127479e+00 1.617255551685121973e-01
2.000000000000000000e+00 6.541674427625151722e+00 1.382983293509832290e+00
3.000000000000000000e+00 7.271558994669446108e+00 3.730774141225350893e-01
1.000000000000000000e+00 5.420941044740260395e+00 3.778103051362467490e-01
1.000000000000000000e+00 6.100138987809516244e+00 2.254601294881097007e-01
4.000000000000000000e+00 5.445437880008373810e+00 8.389641516638904895e-01
7.000000000000000000e+00 3.391394764844648524e+00 5.162644251840461385e-01
5.000000000000000000e+00 5.023874753943301741e+00 3.416451193059204527e-01
3.000000000000000000e+00 1.494157530463179384e+01 8.310428732757551007e-01
1.000000000000000000e+00 6.150840385306937108e-01 1.317691012582428711e-01
0.000000000000000000e+00 6.208409404433633760e+00 2.840880261679577523e-01
2.000000000000000000e+00 1.022141212702179125e+01 2.854053248500928452e-01
2.000000000000000000e+00 5.923383949946440019e+00 9.382480010397283854e-01
6.000000000000000000e+00 3.584731216746253502e+00 3.273907547016330910e-01
5.000000000000000000e+00 6.921125223884118327e+00 7.921795974828123033e-01
4.000000000000000000e+00 5.965399276852356714e+00 1.766665709595179601e-01
