# dep octanol octanoic pentanol
2.142857142857142738e-01 3.265306122448979886e-01 3.061224489795918435e-01 1.530612244897959218e-01
2.244897959183673464e-01 3.367346938775510612e-01 0.000000000000000000e+00 4.387755102040816202e-01
2.959183673469387710e-01 8.163265306122449716e-02 8.163265306122449716e-02 5.408163265306122902e-01
1.632653061224489666e-01 2.959183673469387155e-01 3.775510204081632404e-01 1.632653061224489666e-01
3.775510204081632404e-01 1.632653061224489666e-01 2.857142857142856984e-01 1.734693877551020391e-01
2.857142857142857539e-01 3.265306122448979886e-01 2.346938775510204189e-01 1.530612244897959218e-01
2.142857142857142738e-01 2.755102040816326814e-01 1.122448979591836732e-01 3.979591836734693855e-01
2.040816326530612290e-01 6.122448979591836593e-02 4.795918367346938549e-01 2.551020408163265363e-01
1.546391752577319367e-01 4.123711340206185488e-02 4.329896907216494450e-01 3.711340206185566593e-01
4.489795918367346927e-01 1.224489795918367319e-01 3.061224489795918297e-02 3.979591836734693855e-01
2.040816326530612290e-01 5.204081632653061451e-01 2.040816326530612290e-01 7.142857142857143848e-02
2.346938775510204189e-01 1.428571428571428770e-01 3.163265306122449161e-01 3.061224489795918435e-01
2.040816326530612290e-01 5.204081632653061451e-01 2.040816326530612290e-01 7.142857142857143848e-02
2.142857142857142738e-01 5.102040816326530726e-02 2.959183673469387710e-01 4.387755102040816202e-01
1.546391752577319367e-01 4.123711340206185488e-02 4.329896907216494450e-01 3.711340206185566593e-01
2.142857142857142738e-01 5.102040816326530726e-02 2.959183673469387710e-01 4.387755102040816202e-01
2.346938775510204189e-01 1.428571428571428770e-01 3.163265306122449161e-01 3.061224489795918435e-01
4.489795918367346927e-01 1.224489795918367319e-01 3.061224489795918297e-02 3.979591836734693855e-01
1.938775510204081565e-01 3.673469387755102233e-01 2.551020408163265363e-01 1.836734693877551117e-01
1.938775510204081565e-01 3.673469387755102233e-01 2.551020408163265363e-01 1.836734693877551117e-01
1.734693877551020391e-01 2.653061224489795533e-01 2.346938775510203912e-01 3.265306122448979331e-01
1.938775510204081565e-01 1.734693877551020669e-01 2.551020408163265363e-01 3.775510204081632404e-01
1.938775510204081565e-01 1.734693877551020669e-01 2.551020408163265363e-01 3.775510204081632404e-01
1.734693877551020391e-01 2.653061224489795533e-01 2.346938775510203912e-01 3.265306122448979331e-01
2.346938775510204189e-01 2.448979591836734637e-01 0.000000000000000000e+00 5.204081632653061451e-01
2.346938775510204189e-01 2.448979591836734637e-01 0.000000000000000000e+00 5.204081632653061451e-01
2.040816326530612290e-01 6.122448979591836593e-02 4.795918367346938549e-01 2.551020408163265363e-01
6.185567010309278579e-02 3.608247422680412320e-01 3.092783505154639290e-02 5.463917525773196449e-01
3.092783505154639290e-01 3.608247422680412320e-01 5.154639175257732381e-02 2.783505154639175361e-01
2.653061224489796088e-01 3.571428571428571508e-01 1.224489795918367319e-01 2.551020408163265363e-01
1.428571428571428492e-01 2.653061224489795533e-01 2.857142857142856984e-01 3.061224489795917880e-01
2.424242424242424310e-01 3.131313131313131493e-01 2.222222222222222376e-01 2.222222222222222376e-01
3.469387755102041337e-01 1.020408163265306145e-01 4.081632653061224858e-02 5.102040816326530726e-01
1.515151515151515194e-01 8.080808080808081495e-02 4.343434343434343647e-01 3.333333333333333703e-01
2.323232323232323482e-01 3.737373737373737570e-01 0.000000000000000000e+00 3.939393939393939781e-01
1.428571428571428492e-01 2.653061224489795533e-01 2.857142857142856984e-01 3.061224489795917880e-01
1.515151515151515194e-01 8.080808080808081495e-02 4.343434343434343647e-01 3.333333333333333703e-01
2.121212121212121271e-01 3.535353535353535359e-01 3.030303030303030387e-01 1.313131313131313260e-01
2.323232323232323482e-01 3.737373737373737570e-01 0.000000000000000000e+00 3.939393939393939781e-01
1.855670103092783574e-01 5.154639175257732381e-02 3.092783505154639290e-01 4.536082474226804107e-01
3.092783505154639290e-01 3.608247422680412320e-01 5.154639175257732381e-02 2.783505154639175361e-01
1.855670103092783574e-01 5.154639175257732381e-02 3.092783505154639290e-01 4.536082474226804107e-01
6.185567010309278579e-02 3.608247422680412320e-01 3.092783505154639290e-02 5.463917525773196449e-01
2.121212121212121271e-01 3.535353535353535359e-01 3.030303030303030387e-01 1.313131313131313260e-01
2.424242424242424310e-01 3.131313131313131493e-01 2.222222222222222376e-01 2.222222222222222376e-01
2.653061224489796088e-01 3.571428571428571508e-01 1.224489795918367319e-01 2.551020408163265363e-01
3.469387755102041337e-01 1.020408163265306145e-01 4.081632653061224858e-02 5.102040816326530726e-01
1.530612244897959218e-01 3.775510204081632404e-01 2.551020408163265363e-01 2.142857142857142738e-01
3.163265306122449161e-01 3.163265306122449161e-01 0.000000000000000000e+00 3.673469387755102233e-01
2.448979591836734637e-01 0.000000000000000000e+00 5.102040816326530726e-02 7.040816326530612290e-01
2.121212121212121271e-01 2.929292929292929282e-01 2.626262626262626521e-01 2.323232323232323482e-01
2.448979591836734637e-01 4.489795918367346927e-01 5.102040816326530726e-02 2.551020408163265363e-01
1.734693877551020391e-01 4.693877551020407823e-01 5.102040816326530726e-02 3.061224489795917880e-01
2.323232323232323482e-01 4.646464646464646964e-01 6.060606060606060774e-02 2.424242424242424310e-01
2.448979591836734637e-01 4.489795918367346927e-01 5.102040816326530726e-02 2.551020408163265363e-01
2.727272727272727626e-01 0.000000000000000000e+00 3.333333333333333703e-01 3.939393939393939781e-01
2.857142857142856984e-01 1.734693877551020391e-01 8.163265306122448328e-02 4.591836734693877098e-01
3.163265306122449161e-01 3.163265306122449161e-01 0.000000000000000000e+00 3.673469387755102233e-01
1.530612244897959218e-01 3.775510204081632404e-01 2.551020408163265363e-01 2.142857142857142738e-01
1.734693877551020391e-01 4.693877551020407823e-01 5.102040816326530726e-02 3.061224489795917880e-01
2.121212121212121271e-01 2.929292929292929282e-01 2.626262626262626521e-01 2.323232323232323482e-01
3.092783505154639290e-01 4.020618556701031077e-01 1.134020618556701027e-01 1.752577319587629023e-01
3.092783505154639290e-01 4.020618556701031077e-01 1.134020618556701027e-01 1.752577319587629023e-01
2.857142857142856984e-01 1.734693877551020391e-01 8.163265306122448328e-02 4.591836734693877098e-01
2.448979591836734637e-01 0.000000000000000000e+00 5.102040816326530726e-02 7.040816326530612290e-01
2.727272727272727626e-01 0.000000000000000000e+00 3.333333333333333703e-01 3.939393939393939781e-01
2.323232323232323482e-01 4.646464646464646964e-01 6.060606060606060774e-02 2.424242424242424310e-01
1.836734693877551117e-01 4.183673469387754751e-01 1.326530612244898044e-01 2.653061224489796088e-01
2.929292929292929282e-01 3.434343434343434809e-01 5.050505050505051108e-02 3.131313131313131493e-01
1.938775510204081565e-01 0.000000000000000000e+00 3.469387755102041337e-01 4.591836734693877653e-01
1.616161616161616021e-01 0.000000000000000000e+00 4.444444444444444198e-01 3.939393939393939226e-01
2.346938775510204189e-01 3.367346938775510612e-01 4.081632653061224858e-02 3.877551020408163129e-01
2.142857142857142738e-01 4.285714285714285476e-01 4.081632653061224858e-02 3.163265306122449161e-01
3.939393939393939226e-01 0.000000000000000000e+00 4.040404040404040054e-02 5.656565656565656353e-01
2.142857142857142738e-01 4.285714285714285476e-01 4.081632653061224858e-02 3.163265306122449161e-01
1.734693877551020391e-01 4.591836734693877098e-01 3.061224489795917950e-02 3.367346938775510057e-01
1.616161616161616021e-01 0.000000000000000000e+00 4.444444444444444198e-01 3.939393939393939226e-01
2.142857142857142738e-01 3.163265306122449161e-01 5.102040816326530726e-02 4.183673469387754751e-01
1.734693877551020391e-01 4.591836734693877098e-01 3.061224489795917950e-02 3.367346938775510057e-01
1.938775510204081565e-01 0.000000000000000000e+00 3.469387755102041337e-01 4.591836734693877653e-01
2.929292929292929282e-01 3.434343434343434809e-01 5.050505050505051108e-02 3.131313131313131493e-01
3.939393939393939226e-01 0.000000000000000000e+00 4.040404040404040054e-02 5.656565656565656353e-01
2.142857142857142738e-01 3.571428571428571508e-01 1.530612244897959218e-01 2.755102040816326814e-01
1.836734693877551117e-01 4.183673469387754751e-01 1.326530612244898044e-01 2.653061224489796088e-01
2.142857142857142738e-01 3.571428571428571508e-01 1.530612244897959218e-01 2.755102040816326814e-01
2.142857142857142738e-01 3.163265306122449161e-01 5.102040816326530726e-02 4.183673469387754751e-01
2.346938775510204189e-01 3.367346938775510612e-01 4.081632653061224858e-02 3.877551020408163129e-01
2.222222222222222376e-01 3.232323232323232598e-01 0.000000000000000000e+00 4.545454545454545858e-01
3.163265306122449161e-01 1.530612244897959218e-01 2.040816326530612429e-02 5.102040816326530726e-01
1.428571428571428492e-01 3.877551020408163129e-01 2.857142857142856984e-01 1.836734693877550839e-01
2.448979591836734637e-01 4.489795918367346927e-01 5.102040816326530726e-02 2.551020408163265363e-01
2.346938775510204189e-01 3.367346938775510612e-01 4.081632653061224858e-02 3.877551020408163129e-01
9.278350515463917869e-02 2.680412371134020533e-01 2.061855670103092952e-01 4.329896907216495006e-01
3.367346938775510612e-01 3.571428571428571508e-01 3.061224489795918297e-02 2.755102040816326814e-01
2.222222222222222376e-01 3.232323232323232598e-01 0.000000000000000000e+00 4.545454545454545858e-01
1.938775510204081565e-01 1.530612244897959218e-01 1.530612244897959218e-01 5.000000000000000000e-01
1.938775510204081565e-01 3.673469387755102233e-01 2.142857142857142738e-01 2.244897959183673464e-01
9.278350515463917869e-02 2.680412371134020533e-01 2.061855670103092952e-01 4.329896907216495006e-01
1.616161616161616021e-01 5.050505050505050414e-02 3.737373737373737015e-01 4.141414141414140881e-01
3.367346938775510612e-01 3.571428571428571508e-01 3.061224489795918297e-02 2.755102040816326814e-01
1.938775510204081565e-01 3.673469387755102233e-01 2.142857142857142738e-01 2.244897959183673464e-01
2.448979591836734637e-01 4.489795918367346927e-01 5.102040816326530726e-02 2.551020408163265363e-01
3.163265306122449161e-01 1.530612244897959218e-01 2.040816326530612429e-02 5.102040816326530726e-01
2.346938775510204189e-01 3.367346938775510612e-01 4.081632653061224858e-02 3.877551020408163129e-01
1.938775510204081565e-01 1.530612244897959218e-01 1.530612244897959218e-01 5.000000000000000000e-01
1.616161616161616021e-01 5.050505050505050414e-02 3.737373737373737015e-01 4.141414141414140881e-01
