# division directionality movement
1.000000000000000000e+00 9.527027024771905772e+00 1.101085643596695640e-01
0.000000000000000000e+00 3.213605121387845820e-01 3.613114652053354275e-02
0.000000000000000000e+00 1.595970799637827842e+00 2.166300265710592587e-01
0.000000000000000000e+00 3.450400348298166553e-01 4.223557736666071205e-02
3.000000000000000000e+00 7.616974761958601015e+00 2.552110658173225577e-01
5.000000000000000000e+00 8.457112168682467512e+00 4.296808510747899823e-01
1.000000000000000000e+00 8.669673252694323651e+00 5.412864306581685048e-01
3.000000000000000000e+00 4.317549799080094175e+00 1.303234912432892911e-01
0.000000000000000000e+00 7.362385319408570439e+00 8.334537491323704139e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 6.235455426182302752e+00 2.628150394200864381e-01
5.000000000000000000e+00 5.022950115686221295e+00 1.182680978679893496e-01
2.000000000000000000e+00 6.327125502824411996e+00 1.723938799695657609e-01
0.000000000000000000e+00 6.614920287522286557e+00 2.369787990847879999e-01
4.000000000000000000e+00 9.024253165279748856e+00 5.034321279521222214e-01
4.000000000000000000e+00 8.891864962957326313e+00 2.953631463511330324e-01
4.000000000000000000e+00 1.391097355467862329e+01 1.659244269306021091e-01
0.000000000000000000e+00 1.656355289558787858e+00 7.427585194360661336e-02
0.000000000000000000e+00 3.116967577329458200e-02 1.496824445791254156e-02
1.200000000000000000e+01 1.739159101720206380e+00 6.283943644069736045e-01
5.000000000000000000e+00 7.871581107827311463e+00 2.306094526669860145e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+00 8.066402537966069985e+00 5.678931404026079655e-01
5.000000000000000000e+00 3.502076242908836790e+00 9.346958564991320051e-02
3.000000000000000000e+00 5.608763877570211775e+00 2.722367377582645354e+00
3.000000000000000000e+00 9.927371459025975398e+00 1.463718807200136141e-01
0.000000000000000000e+00 1.821074560412462962e+00 8.069128509901188351e-02
1.000000000000000000e+00 3.323833345659481520e+00 3.075322774612577748e-01
1.000000000000000000e+00 1.237530956342500987e+00 8.357608786309687898e-02
1.000000000000000000e+00 8.781124958892426946e+00 3.201720193893258792e-01
8.000000000000000000e+00 7.522392554302650858e+00 1.087793838815716452e+00
1.000000000000000000e+00 2.517524289754205835e+00 2.046128715470806325e-01
4.000000000000000000e+00 1.027637019644976313e+01 2.204209381499443454e-01
3.000000000000000000e+00 8.207074906541485859e+00 1.386458049198059372e-01
0.000000000000000000e+00 7.436360732458857647e-02 1.807303276890684374e-02
1.000000000000000000e+00 1.096780016632157562e+01 3.390988359252002926e-01
1.400000000000000000e+01 2.348356938610347111e+00 9.336220214774578752e-01
1.000000000000000000e+00 4.941377868042645893e+00 1.440854917133199964e-01
2.000000000000000000e+00 5.634126674569365889e+00 2.520185714683884637e-01
0.000000000000000000e+00 4.131494096304625607e+00 2.050699801235660591e-01
0.000000000000000000e+00 1.889449513887148768e+00 9.260428882578930487e-02
0.000000000000000000e+00 5.637787860723667777e+00 2.107437315188235849e-01
1.000000000000000000e+00 4.524152678983625719e+00 3.875207802911679322e-01
5.000000000000000000e+00 1.505841845548155433e+01 3.267736206019747347e-01
7.000000000000000000e+00 3.726965040031211096e+00 8.054900374176071631e-01
0.000000000000000000e+00 5.375609298308520856e+00 1.937512244456049137e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 2.065573762574306194e-01 3.576822083208509428e-03
0.000000000000000000e+00 1.055844641378298615e-02 4.934397852377441288e-03
3.000000000000000000e+00 1.062258430997367675e+01 3.836183520430997418e-01
0.000000000000000000e+00 2.152722774610561718e+00 9.645928414929121064e-02
0.000000000000000000e+00 4.110842660112043134e+00 1.474542323164848012e-01
3.000000000000000000e+00 3.685894079679886914e+00 2.373258552434655833e-01
0.000000000000000000e+00 4.312968823455290313e+00 1.105082899294582560e-01
0.000000000000000000e+00 2.533620999658688255e+00 9.019168274008437791e-02
3.000000000000000000e+00 4.737806336392262452e+00 6.303550308898498988e-01
4.000000000000000000e+00 4.194201050975008727e+00 1.760498338282413533e-01
4.000000000000000000e+00 6.100077971405160504e+00 2.252164654349854689e-01
2.000000000000000000e+00 6.083991396737543411e+00 8.193191886999919016e-02
2.000000000000000000e+00 7.245227071854393408e+00 1.182805222879381724e+00
1.000000000000000000e+00 8.911639227434747790e-01 3.465322031648426782e-02
2.000000000000000000e+00 2.076842929268821081e+01 2.746151298989861766e-01
0.000000000000000000e+00 1.571958688370136858e+00 1.770105455812228945e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000000e+00 9.636444114429195906e+00 1.189359402567258250e+00
4.000000000000000000e+00 2.950878201364435238e+00 9.834237155767311389e-02
3.000000000000000000e+00 5.646292107696065266e+00 2.539796442891705808e-01
1.000000000000000000e+00 5.967687316529420194e+00 2.175005476898921875e-01
0.000000000000000000e+00 5.833404169887352886e+00 2.222419536469785739e-01
4.000000000000000000e+00 7.004455105823374161e+00 1.189005726573646310e-01
7.000000000000000000e+00 3.707938154177809587e+00 1.215455708676915630e-01
4.000000000000000000e+00 1.159276891700538314e+01 9.759391495083867829e-01
1.000000000000000000e+00 4.926838196122878877e+00 1.334681506997001388e-01
3.000000000000000000e+00 7.697648348611599189e+00 5.226834099868771233e-01
1.000000000000000000e+00 2.391108183521575725e+00 9.610868872073613511e-02
0.000000000000000000e+00 3.540451813876811293e+00 2.263107377009901666e-01
1.000000000000000000e+00 4.690060647104851155e-01 4.378109208516743622e-02
0.000000000000000000e+00 0.000000000000000000e+00 3.457814661134163393e-04
0.000000000000000000e+00 4.174798271337809119e+00 2.738732888418541900e-01
0.000000000000000000e+00 5.243135402722205463e+00 1.305486936362775519e-01
8.000000000000000000e+00 3.392671343431225672e+00 1.151846087423636644e-01
3.000000000000000000e+00 9.437253422579589213e+00 5.614437171986341735e-01
0.000000000000000000e+00 1.158780546275268497e+00 6.992247689706802827e-02
7.000000000000000000e+00 7.740676253625585090e+00 4.360739262501721614e-01
1.000000000000000000e+00 3.182460672809507951e+00 1.875202091124602566e-01
0.000000000000000000e+00 2.866580906673362517e+00 8.921891314704841203e-02
1.100000000000000000e+01 2.365935839461986046e+00 7.294727484594381028e-01
3.000000000000000000e+00 8.587837836321572382e+00 1.080372749186827991e-01
2.000000000000000000e+00 1.394963254169890199e+01 2.744451237333773164e-01
4.000000000000000000e+00 1.196305866484122227e+01 2.542282180815226833e-01
9.000000000000000000e+00 1.228099583701022368e+01 5.122230093790673955e-01
0.000000000000000000e+00 3.196447167760508190e+00 2.346746078741005492e-01
1.000000000000000000e+00 6.702961327461020247e+00 2.076417836296002850e-01
0.000000000000000000e+00 4.765880209675229295e+00 2.212587156837823865e-01
0.000000000000000000e+00 4.327808893370151289e+00 1.444973761165045667e-01
1.400000000000000000e+01 1.705445652360562558e+00 6.414905677629980651e-01
4.000000000000000000e+00 6.287364271444373820e+00 7.758057215956240538e-02
0.000000000000000000e+00 3.908996354979188403e-02 5.280523454973947046e-03
2.000000000000000000e+00 6.603260869291793789e+00 8.613492820813992146e-02
0.000000000000000000e+00 2.728203174039218748e+00 2.655102795838764629e-01
0.000000000000000000e+00 2.607542469512027061e+00 1.637480914214705929e-01
0.000000000000000000e+00 8.593118516029482734e+00 1.091201568907943925e-01
1.000000000000000000e+00 5.632682219227934439e+00 1.828972340168312227e-01
1.000000000000000000e+01 2.608921943820347700e+00 1.147909165172991963e-01
0.000000000000000000e+00 7.607198978191198613e+00 3.384807571802693205e-01
1.000000000000000000e+00 2.566573608200079182e+00 1.344540679939522365e-01
0.000000000000000000e+00 3.670155403686957918e+00 1.611990256502106034e-01
0.000000000000000000e+00 4.178181896450257504e+00 2.192721011962484590e-01
0.000000000000000000e+00 3.723072952863138774e+00 1.828086481076643677e-01
0.000000000000000000e+00 1.507336375317748667e+00 1.325022163253201102e-01
2.000000000000000000e+00 7.239660627867380960e+00 4.410811802071916143e-01
1.000000000000000000e+00 8.556307479343166378e+00 4.185729183567705181e-01
5.000000000000000000e+00 4.568349095909626456e+00 1.441844333369025344e-01
