path dep dodecane octanol pentanol division directionality movement
dodecane/0000 0.16666666666666666 0.33333333333333331 0.5 0.0 0.0 0.57832777533677848 0.10120719701378247
dodecane/0001 0.0 0.40000000000000002 0.59999999999999998 0.0 1.0 3.9327377258609144 0.11025097346990041
dodecane/0002 0.20000000000000001 0.59999999999999998 0.20000000000000001 0.0 0.0 1.1138713235547952 0.041144464198708354
dodecane/0003 0.29999999999999999 0.10000000000000001 0.29999999999999999 0.29999999999999999 0.0 0.77737047049232777 0.098160273864520836
dodecane/0004 0.14285714285714285 0.42857142857142855 0.14285714285714285 0.2857142857142857 0.0 6.7848437798579981 0.21442496803114253
dodecane/0005 0.42857142857142855 0.42857142857142855 0.14285714285714285 0.0 2.0 5.378000240627447 0.14025790312526562
dodecane/0006 0.25 0.375 0.25 0.125 1.0 3.0556231454568867 0.11244548843203056
dodecane/0007 0.2857142857142857 0.14285714285714285 0.42857142857142855 0.14285714285714285 0.0 0.0070985970054559784 0.002406156064200245
dodecane/0008 0.5 0.5 0.0 0.0 6.0 4.6153651138989025 0.11855810870463117
dodecane/0009 0.40000000000000002 0.20000000000000001 0.40000000000000002 0.0 1.0 4.1971603610578736 0.14319632921242795
dodecane/0010 0.59999999999999998 0.0 0.0 0.40000000000000002 3.0 11.528235966560148 0.24940117578383755
dodecane/0011 0.40000000000000002 0.20000000000000001 0.40000000000000002 0.0 1.0 3.0985090419036414 0.13525485826813038
dodecane/0012 0.40000000000000002 0.59999999999999998 0.0 0.0 4.0 4.8598549878489106 0.1592739108519067
dodecane/0013 0.2857142857142857 0.0 0.42857142857142855 0.2857142857142857 2.0 7.8651523744450902 1.6888958357701025
dodecane/0014 0.5 0.0 0.5 0.0 10.0 1.9731924697228236 0.762004362615613
dodecane/0015 0.0 0.40000000000000002 0.40000000000000002 0.20000000000000001 1.0 6.5100198596288381 0.12408894178441184
dodecane/0016 0.25 0.0 0.25 0.5 2.0 9.2291490255627799 0.52161881785225894
dodecane/0017 0.0 0.66666666666666663 0.0 0.33333333333333331 0.0 0.056090889468900854 0.0094690399633683055
dodecane/0018 0.20000000000000001 0.20000000000000001 0.59999999999999998 0.0 0.0 0.51509882023444864 0.054536728533364533
dodecane/0019 0.14285714285714285 0.14285714285714285 0.42857142857142855 0.2857142857142857 1.0 0.63290567448656454 0.072106882829194627
dodecane/0020 0.125 0.375 0.375 0.125 1.0 3.3323561075966253 0.13767111849260699
dodecane/0021 0.25 0.0 0.5 0.25 1.0 7.1284496821618504 1.0489374733127939
